iter	MAE
0	0.001368675257
1	0.00136184191
2	0.001354894986
3	0.001348595486
4	0.001342637252
5	0.001336416157
6	0.001330907374
7	0.001325791899
8	0.001320494384
9	0.001315607903
10	0.001310792413
11	0.001305918748
12	0.001301179556
13	0.00129706805
14	0.001292865073
15	0.001288904346
16	0.001285126994
17	0.001281265874
18	0.001277335165
19	0.00127284785
20	0.001269062105
21	0.001265781437
22	0.001262714259
23	0.001259544503
24	0.001256460019
25	0.001253399276
26	0.001250485175
27	0.00124751278
28	0.001245076734
29	0.001242371804
30	0.00123983736
31	0.0012377128
32	0.001235558204
33	0.001232430774
34	0.001229889713
35	0.001227395468
36	0.001225442047
37	0.0012229951
38	0.001221095787
39	0.001219085267
40	0.001217111704
41	0.001215547084
42	0.001214067683
43	0.001212244564
44	0.001210010689
45	0.001208649531
46	0.001206981718
47	0.001204679911
48	0.001203035726
49	0.001201197735
50	0.001199199741
51	0.001197155523
52	0.00119509486
53	0.001193772616
54	0.00119208957
55	0.001190639027
56	0.001188583669
57	0.001186649245
58	0.001185254206
59	0.00118357666
60	0.001181886429
61	0.001179394353
62	0.001177782051
63	0.001176377777
64	0.001174779453
65	0.001172950503
66	0.001171693749
67	0.001170125269
68	0.001168836106
69	0.001166196165
70	0.001164285801
71	0.001162788908
72	0.001161314941
73	0.001160146071
74	0.001158679035
75	0.001156988927
76	0.001155934556
77	0.001154773819
78	0.001152568239
79	0.001151496199
80	0.001149606614
81	0.001148560147
82	0.001147651911
83	0.001146222844
84	0.001144352209
85	0.001142847897
86	0.001140788186
87	0.001139409099
88	0.001138132703
89	0.001137137402
90	0.001136213065
91	0.001134382784
92	0.001132704975
93	0.00113149957
94	0.001129440175
95	0.001127798333
96	0.001125853283
97	0.001124422806
98	0.001123264896
99	0.001121733705
100	0.001120491438
101	0.001119250081
102	0.001118582597
103	0.001117651586
104	0.001115915301
105	0.001114056291
106	0.001112949659
107	0.001112002705
108	0.001110911004
109	0.001109744353
110	0.001107745281
111	0.001106739157
112	0.001105094201
113	0.001103798083
